name_of_firm,trade_name,category,owner,address,city,state,zip,description
Kira Aviation Services LLC,Kira Operations Support,minority-owned,Richard Rinehart,4208 198th St Sw Ste 104c,Lynnwood,WA,98036-6736,"Repair station specialized in heavy airframe maintenance and modification services and component maintenance, repair, and overhaul services for commercial and regional aircraft,Logistics and integrated supply chain management"
Critical Medical Solutions Inc.,,minority-owned,THOMAS  Ross,9115 Bridgeport Way SW Ste 3,Lakewood,WA,98499-2449,"Teleradiology Services staff with Board Certified Radiologist. Services provided to Medical Treatment Facilities, Tricare and VA Medical Hospitals."
North Tech Equipment Repair LLC,,minority-owned,Patricia Detmer,3121 TRAVEL PLAZA WAY,PASCO,WA,99301-9800,"Heavy duty equipment repair, diesel repair, ALlison transmission authorized dealer"
"Logistic Resource Solution, Inc ",LRS ,minority-owned,DARRYL  SIMMONS,15413 1ST AVE CT SO STE 106,Tacoma,WA,98444-4606,"Logistic Resource Solutions, Incorporated (LRS) provides comprehensive management and functional support services to government agencies and corporate organizations. LRS construction division has over 60 years of exeperience."
"Mahmood, Ibtihal ",,minority-owned,Ibtihal R Mahmood,6916 Columbia Ct,Everett,WA,98203-5431,"Arabic <> English translation and interpretation, legal translation, medical interpretation, localization, globalization, intercultural communication, QA testing, research, writing, editing, proofreading, desktop publishing, copy editing"
"Sealaska Environmental Services, LLC",,minority-owned,Terrence Heikkila,3200 George Washington Way Ste D,Richland,WA,99354-1664,"Environmental, remediation, consulting, engineering, project managment, construction, demolition, SATOC, EMAC, 8A, O&M, Monitoring, Waste identification, management,and disposal, Permitting, LTM, operations, maintenance, radiological waste"
"Emerald, Inc",EMERALD CITY SERVICES,minority-owned,Victor M Servin,10405 DES MOINES MEMORIAL DR S,SEATTLE,WA,98168-1633,"Fire Protection Services, Extinguisher Sales/Service/Rental, Kitchen Hood/Exhaust Cleaning, Kitchen Fire Suppression Systems Install/Service, Extinguisher Training English/Spanish, Safety Products Sales, Carbon Dioxide Systems Service."
"BELENUS SOLUTIONS, LLC",,minority-owned,Jeffrey A Balentine,11515 297TH DR NE,GRANITE FALLS,WA,98252-8513,"Belenus is a small, minority, and veteran owned company grounded in “Shared Values”, and extremely competitive billing rates. As a service consultancy, we are unique in the fact that all personnel have practical as well as theoretical experience in commercial, US Government, and local government service sectors. The Belenus team is made up of a highly experienced, and technically savvy team, and we employ associates who are experts in their respective fields. The Belenus team has held management, and senior executive positions in both government and commercial industries. This combination provides us with a reservoir of knowledge that allows us to immediately tackle ad hoc, and complex projects without having to deploy resources to learn the basic tenets of the subject matter as would be required of non-specialist service providers."
BULK CARGO SERVICES & LOGISTICS INC.,,minority-owned,Darrell L Bryant,15400 NE 103RD DR,VANCOUVER,WA,98682-1944,"Bulk Cargo Services & Logistics, Inc.(BCS&L) is a provider of domestic and international transportation and logistics services and has been in operation since 2011. We also provide sales and procurement services to city, state, federal government agencies as well as overland and ocean transportation and consultations services. BCS&L is federally licensed and bonded to perform these services. Our license allow us to provide freight forwarding services to the U.S. Military, USDA,USAID,GSA to name a few, and private sector as well, both domestically and internationally."
"United Professional Caulking & Restoration, Inc",UNIPRO,minority-owned,Susan L BelCher,4491 S 134th Pl,Tukwila,WA,98168-6204,Caulking & Sealants; Remedial Sealants; Inspection & Consulting; Masonry & Concrete Restoration; Exterior Wall Coatings; Building Cleaning & Sealants; Deck Coatings; Waterproofing; vapor Barriers; Firestopping
"Prowess Consulting, LLC",Smart Deploy,minority-owned,Aaron  Suzuki,12100 NORTHUP WAY STE 100,BELLEVUE,WA,98005-1913,"Prowess Consulting specializes in working with enterprise and mid-market companies to define, manage, and market technology solutions and services. Prowess also sells smartdeploy a image deployment software solution."
"North Wind Solutions, LLC ",,minority-owned,JOHN BUKOWSKI,"507 Knight St, Ste A",Richland,WA,99352-4258,"North Wind Solutions is a small business with Top Secret clearance specializing in infrastructure support services and facilities maintenance, base operating services, waste management and radiological services, security control and force protection, environmental services, janitorial services and professional, administrative, and management services. North Wind Solutions shares common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC), with a family of companies managed by North Wind Group, a CIRI government contract holding entity. Under North Wind Group, North Wind Solutions operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system to successfully execute Government contracts. North Wind Solutions offers clients a low risk small business backed by a mature, financially strong parent organization and an excellent past performance history."
"AHTNA ENVIRONMENTAL, INC.",,minority-owned,Bernie Wong,900 SW 16TH ST STE 330,RENTON,WA,98057-2637,"Ahtna Environmental, Inc. is a wholly owned subsidiary of Ahtna, Inc., an Alaska Native Regional Corporation (ANC) with 8(a) and Small Disadvantaged Business certification from the Small Business Administration. We are an established self-performing contractor that specializes in the execution of time-sensitive, complex, and multifaceted environmental, engineering, construction, and professional services projects for government and commercial clients. Our multidisciplinary professional staff includes scientists, engineers, construction supervisors and craft labor, and records management personnel with decades of experience."
"iVirtuAssist, LLC",,minority-owned,Charlette Glover-Beardsley,910 Summit St,Aberdeen,WA,98520-2969,"iVirtuAssist specializes in virtual secretarial support, corporate travel support, dispatching and call center support, desktop publishing, web design, and other services that can be customized to meet our client’s outsourcing needs."
"Pacific Tech Construction, Inc.",,minority-owned,JOE  Lane,1302 Walnut St,Kelso,WA,98626-2719,"General Contractor, Roofing and Roof Structures Contractor, Asbestos, Lead & Mold Abatement Contractor, Design/Build Services, Consulting & Design Services, Renovations & Remodels, Seismic & Sructural Upgrades, Tenant Improvements."
Bristol Construction Services LLC,,minority-owned,Travis Woods,1800 4th St Ste D,Marysville,WA,98270-5044,"Civil & structural engineering, civil & vertical construction, environmental remediation, fuel systems, range, and unexploded ordnance response throughout the US and select OCONUS locations. A spectrum of services for public and private sector clients."
Advanced Technology Construction Corporation,,minority-owned,Dennis Farrow,3828 E Portland Ave,Tacoma,WA,98404-4620,"ATC is a General Contractor specializing in Industrial and medical Construction & Federal Contracting; Design Build, Medical Office & Hospital Renovations as well as Cleanroom and Data Centers. ATC is also able to perform Site/Civil work, Roofing & Raised Access Flooring. Current area of operations include, California, Oregon, Washington State, Idaho, Alaska, Montana, and New Mexico."
Arthur Jackson CTC Inc.,,minority-owned,Arthur Jackson Jr,4708 87th St SW,Mukilteo,WA,98275-3220,"Supply onsite and online training in Health and safety, CPR, First Aid, and Remote and Wilderness Training. Provides the most complete safety training in First Aid, and CPR"
"RJS Construction, Inc.",,minority-owned,Shannon Sevigny,1618 B Rudkin RD,Yakima,WA,98901-4030,"Design-build general contractor; 30 years' experience; 94% return clients; new and renovations ranging $1k-$10M; self-perform carpentry, civil, painting, electrical; completed projects throughout the United States"
Olivian Global Solutions Inc.,UNCLEMACS,minority-owned,MackAllen Wright,33530 1st Way S Ste 102,federal way,WA,98003-7332,300 million unit/year frozen foods production capability
TL Rickman Incorporated,TLR General Contractor Servs,minority-owned,Anthony D Rickman,32117 13th Pl SW,Federal Way,WA,98023-5525,
Jamestown S'klallam Tribe Economic Development Authority,Jamestown Networks,minority-owned,Hawk Grinnell,257 Business Park Loop,Sequim,WA,98382-9423,"The mission of the Jamestown S’Klallam Economic Development Authority is to assist the Tribe, its citizens and their families in achieving stable, long-term, economic self-sufficiency, by: encouraging and supporting entrepreneurship; creating a stable economic foundation centered on the pursuit of for-profit ventures; strengthening existing Tribal businesses; providing employment opportunities for Tribal citizens; creating a sustainable revenue stream to support essential governmental services provided by the Tribe, including those to its Elders and children, while preserving and enhancing the Tribal heritage and culture, and utilizing the unique resources available to the Tribe."
"Wabinga, Lisa",,minority-owned,Lisa Wabinga,22907 130th Pl SE,Kent,WA,98031-3729,"Company is led by Human Resource Manager who is well versed in all matters of federal personnel administration and conditions of employment to include terminations, discipline, reasonable accommodation, leave administration, employee performance, OWCP, benefits, promotions, harassment and retaliation. Our expert knowledge of employee relations enables our company to quickly derive the basis for employee related issues and assist employees in the informal and formal EEO Discrimination Complaint Process. Our EEO Counselors are retired federal and military service members who have worked across the globe and who have past experience working in agencies to include the Department of Defense, Department of Justice, Social Security, and FEMA."
